City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kalmunai,7.4167,81.8167,77.94,81,62,5.01,LK,1618095113
1,asau,46.4333,26.4,39.99,45,1,3.47,RO,1618095113
2,faanui,-16.4833,-151.75,82.27,70,59,9.6,PF,1618095113
3,jamestown,42.097,-79.2353,73.4,27,1,10.36,US,1618095113
4,hermanus,-34.4187,19.2345,60.01,92,100,2.93,ZA,1618095114
5,cape town,-33.9258,18.4232,64.0,88,0,9.22,ZA,1618094883
6,thompson,55.7435,-97.8558,39.2,56,40,8.05,CA,1618095114
7,wuda,39.4994,106.7117,50.83,68,87,3.58,CN,1618095114
8,san patricio,28.017,-97.5169,89.6,33,1,12.66,US,1618095114
9,ribeira grande,38.5167,-28.7,62.1,90,100,15.39,PT,1618095115
10,sitka,57.0531,-135.33,35.6,55,90,12.66,US,1618095116
11,tuktoyaktuk,69.4541,-133.0374,-13.0,70,20,11.5,CA,1618095116
12,busselton,-33.65,115.3333,60.01,87,100,1.01,AU,1618095116
13,khatanga,71.9667,102.5,15.3,86,100,13.4,RU,1618095117
14,awbari,26.5921,12.7805,72.95,23,84,22.19,LY,1618095117
15,matara,5.9485,80.5353,76.33,85,25,2.37,LK,1618095117
16,saskylakh,71.9167,114.0833,0.07,80,65,10.67,RU,1618095117
17,leh,34.1667,77.5833,27.82,65,91,3.87,IN,1618095118
18,vila do maio,15.1333,-23.2167,73.4,56,0,16.11,CV,1618095118
19,zavodouspenskoye,56.8626,65.0155,35.6,93,0,11.18,RU,1618095118
20,borbon,10.838,124.0297,78.8,89,90,3.44,PH,1618095118
21,luganville,-15.5333,167.1667,79.27,82,100,4.34,VU,1618095119
22,constitucion,-35.3333,-72.4167,53.94,81,0,12.1,CL,1618095056
23,komsomolskiy,40.4272,71.7189,55.4,41,1,2.3,UZ,1618095119
24,east london,-33.0153,27.9116,70.14,91,77,3.18,ZA,1618095119
25,victoria,22.2855,114.1577,71.01,79,65,18.07,HK,1618095119
26,yulara,-25.2406,130.9889,60.8,51,0,10.36,AU,1618095120
27,sao filipe,14.8961,-24.4956,75.24,65,21,12.73,CV,1618095120
28,rikitea,-23.1203,-134.9692,78.96,71,0,9.33,PF,1618095120
29,key largo,25.0865,-80.4473,79.0,80,0,5.01,US,1618094975
30,ostrovnoy,68.0531,39.5131,31.42,85,39,23.89,RU,1618095121
31,qaanaaq,77.484,-69.3632,16.48,86,100,4.23,GL,1618095121
32,povenets,62.8487,34.8262,30.96,86,90,12.21,RU,1618095121
33,vaini,-21.2,-175.2,80.6,74,20,9.22,TO,1618095121
34,ambon,-3.6954,128.1814,80.71,75,98,2.53,ID,1618095122
35,new norfolk,-42.7826,147.0587,44.01,89,99,1.01,AU,1618095122
36,bourail,-21.5667,165.4833,77.45,86,100,5.68,NC,1618095122
37,volosovo,59.4333,29.4833,32.0,74,0,6.71,RU,1618095122
38,sapa,5.1544,120.3241,81.95,74,94,3.69,PH,1618095123
39,conde,-7.2597,-34.9075,75.2,100,75,6.91,BR,1618095123
40,margate,51.3813,1.3862,41.0,72,100,8.01,GB,1618095123
41,maningrida,-12.0667,134.2667,79.72,82,88,2.84,AU,1618095123
42,saint-philippe,-21.3585,55.7679,78.8,69,90,5.75,RE,1618095124
43,hithadhoo,-0.6,73.0833,83.32,69,56,12.88,MV,1618095124
44,port alfred,-33.5906,26.891,70.34,90,90,1.95,ZA,1618095124
45,salina cruz,16.1667,-95.2,84.04,63,0,15.41,MX,1618095124
46,atuona,-9.8,-139.0333,80.98,71,66,16.35,PF,1618095125
47,upernavik,72.7868,-56.1549,16.21,91,98,6.93,GL,1618095125
48,casablanca,33.5928,-7.6192,64.0,93,20,3.44,MA,1618095000
49,pevek,69.7008,170.3133,-13.85,92,68,1.66,RU,1618095125
50,walla walla,46.0646,-118.343,52.0,34,90,17.27,US,1618095125
51,bluff,-46.6,168.3333,62.01,85,85,3.0,NZ,1618095126
52,barrow,71.2906,-156.7887,-9.4,70,1,11.5,US,1618095067
53,kataysk,56.289,62.5841,34.38,91,60,11.54,RU,1618095126
54,punta arenas,-53.15,-70.9167,50.0,66,75,14.97,CL,1618095126
55,flinders,-34.5833,150.8552,57.99,55,0,7.0,AU,1618095126
56,takoradi,4.8845,-1.7554,80.96,84,84,7.07,GH,1618095127
57,jiehu,35.5428,118.455,55.0,99,56,1.01,CN,1618095127
58,castro,-24.7911,-50.0119,61.88,63,0,2.86,BR,1618095127
59,georgetown,5.4112,100.3354,79.0,100,20,5.26,MY,1618095127
60,kodiak,57.79,-152.4072,35.6,64,90,12.66,US,1618095128
61,mataura,-46.1927,168.8643,62.01,85,63,3.0,NZ,1618095128
62,ucluelet,48.9329,-125.5528,50.0,61,20,19.57,CA,1618094921
63,talnakh,69.4865,88.3972,28.13,97,100,4.92,RU,1618095128
64,trinidad,-14.8333,-64.9,82.4,83,75,4.61,BO,1618095021
65,tura,25.5198,90.2201,71.56,71,0,3.76,IN,1618095129
66,yerbogachen,61.2767,108.0108,0.93,94,27,3.62,RU,1618095129
67,jesup,31.6074,-81.8854,68.0,88,75,7.45,US,1618095129
68,albany,42.6001,-73.9662,75.0,46,40,6.91,US,1618094931
69,senador guiomard,-10.1522,-67.7392,84.2,70,20,3.44,BR,1618095130
70,port lincoln,-34.7333,135.8667,59.34,61,93,14.92,AU,1618095130
71,kandrian,-6.2167,149.55,75.92,93,100,3.83,PG,1618095130
72,montepuez,-13.1256,38.9997,67.66,98,100,5.23,MZ,1618095130
73,kapaa,22.0752,-159.319,78.8,53,40,13.8,US,1618095131
74,bagarji,27.756,68.7524,71.6,68,0,4.61,PK,1618095131
75,kruisfontein,-34.0033,24.7314,57.0,96,89,1.01,ZA,1618095131
76,honiara,-9.4333,159.95,82.56,77,93,4.79,SB,1618095131
77,kavaratti,10.5669,72.642,82.11,72,10,5.44,IN,1618095132
78,bredasdorp,-34.5322,20.0403,55.4,94,100,1.14,ZA,1618095132
79,boysun,38.2061,67.1986,53.89,32,0,7.14,UZ,1618095132
80,yellowknife,62.456,-114.3525,10.99,48,40,10.36,CA,1618095092
81,mahebourg,-20.4081,57.7,78.8,83,75,12.66,MU,1618095132
82,coquimbo,-29.9533,-71.3436,60.8,72,0,12.66,CL,1618095118
83,guerrero negro,27.9769,-114.0611,66.24,62,99,19.55,MX,1618095133
84,avarua,-21.2078,-159.775,82.4,78,40,8.05,CK,1618095133
85,korla,41.7597,86.1469,52.99,48,0,6.58,CN,1618095133
86,vanimo,-2.6741,141.3028,79.65,86,100,9.35,PG,1618095134
87,bethel,41.3712,-73.414,66.0,75,62,6.58,US,1618094836
88,davila,18.4726,120.5763,71.6,83,20,1.14,PH,1618095134
89,ola,59.5833,151.2833,13.71,64,61,12.97,RU,1618095134
90,puerto ayora,-0.7393,-90.3518,78.8,83,20,5.75,EC,1618095134
91,chute-aux-outardes,49.1168,-68.399,35.6,60,1,5.75,CA,1618095135
92,amahai,-3.3333,128.9167,78.55,77,90,3.15,ID,1618095124
93,vilcun,-38.65,-72.2333,59.0,63,40,4.61,CL,1618095135
94,srednekolymsk,67.45,153.6833,-7.92,92,100,8.57,RU,1618095135
95,tateyama,34.9833,139.8667,53.01,62,20,9.22,JP,1618095135
96,goderich,43.7501,-81.7165,75.2,35,100,11.5,CA,1618095136
97,palauig,15.435,119.9045,79.86,72,72,2.95,PH,1618095136
98,tuatapere,-46.1333,167.6833,62.01,85,96,3.0,NZ,1618095136
99,gorontalo,0.5412,123.0595,77.47,88,97,2.53,ID,1618094839
100,kavieng,-2.5744,150.7967,81.99,74,100,7.38,PG,1618094916
101,bonthe,7.5264,-12.505,80.55,86,100,8.72,SL,1618095136
102,tigil,57.8,158.6667,16.21,90,97,5.37,RU,1618095137
103,tasiilaq,65.6145,-37.6368,33.8,51,2,1.14,GL,1618095137
104,estelle,29.8458,-90.1067,75.99,73,40,13.8,US,1618095137
105,ancud,-41.8697,-73.8203,53.01,87,90,10.36,CL,1618095137
106,hilo,19.7297,-155.09,78.8,53,20,8.05,US,1618095138
107,sovetskiy,61.3614,63.5842,33.67,98,100,5.12,RU,1618095138
108,port elizabeth,-33.918,25.5701,64.4,94,75,2.3,ZA,1618095138
109,airai,-8.9266,125.4092,62.94,75,90,1.5,TL,1618095138
110,katunino,64.3862,40.6298,37.4,81,75,11.18,RU,1618095139
111,westerland,54.9079,8.3033,41.0,70,90,18.41,DE,1618095139
112,acapulco,16.8634,-99.8901,84.2,70,40,10.36,MX,1618095139
113,hobart,-42.8794,147.3294,44.6,81,75,18.41,AU,1618094933
114,severo-kurilsk,50.6789,156.125,30.4,73,79,22.91,RU,1618095140
115,waingapu,-9.6567,120.2641,77.77,79,7,3.2,ID,1618095140
116,vestmannaeyjar,63.4427,-20.2734,37.18,94,100,6.87,IS,1618095140
117,qaqortoq,60.7167,-46.0333,39.2,70,48,5.75,GL,1618095140
118,saldanha,-33.0117,17.9442,60.8,88,100,11.5,ZA,1618095141
119,sambava,-14.2667,50.1667,75.0,89,100,6.26,MG,1618095141
120,riyadh,24.6877,46.7219,91.4,14,20,3.44,SA,1618094918
121,ushuaia,-54.8,-68.3,50.0,66,40,4.61,AR,1618095141
122,klaksvik,62.2266,-6.589,28.4,80,100,9.22,FO,1618095142
123,palora,-1.7,-77.9333,75.2,73,40,1.7,EC,1618095142
124,elko,41.0002,-115.5012,68.0,13,1,18.41,US,1618095142
125,monterey,36.2505,-121.2516,70.0,48,36,23.0,US,1618095142
126,butaritari,3.0707,172.7902,81.99,77,99,14.65,KI,1618095143
127,chernyshkovskiy,48.4219,42.2308,39.96,93,92,10.54,RU,1618095143
128,chokurdakh,70.6333,147.9167,-16.74,99,100,1.28,RU,1618095143
129,camacha,33.0833,-16.3333,64.4,88,40,8.05,PT,1618095143
130,kaitangata,-46.2817,169.8464,64.0,70,52,4.0,NZ,1618095144
131,kemijarvi,66.7131,27.4306,26.87,94,100,8.25,FI,1618095144
132,omurtag,43.1,26.4167,42.8,56,7,5.75,BG,1618095144
133,nikolskoye,59.7035,30.7861,37.0,74,0,6.71,RU,1618095144
134,saint george,37.1041,-113.5841,82.99,7,1,12.66,US,1618095145
135,lorengau,-2.0226,147.2712,81.66,83,100,15.5,PG,1618095145
136,pisco,-13.7,-76.2167,73.4,64,20,12.66,PE,1618095145
137,bandarbeyla,9.4942,50.8122,78.01,72,0,6.76,SO,1618095145
138,maarianhamina,60.0973,19.9348,39.2,56,0,5.75,AX,1618094959
139,san ramon,37.7799,-121.978,77.0,33,1,9.22,US,1618095146
140,itarema,-2.9248,-39.9167,80.49,80,41,13.6,BR,1618095146
141,port augusta,-32.5,137.7667,60.8,59,90,14.97,AU,1618095146
142,qasigiannguit,68.8193,-51.1922,21.2,79,90,3.44,GL,1618095146
143,puerto escondido,15.85,-97.0667,86.0,70,40,6.91,MX,1618095147
144,carnarvon,-24.8667,113.6333,77.0,88,99,17.27,AU,1618095147
145,souillac,-20.5167,57.5167,78.8,83,75,12.66,MU,1618095147
146,chuy,-33.6971,-53.4616,68.38,93,100,12.73,UY,1618095147
147,kamwenge,0.1866,30.4539,62.83,97,100,2.46,UG,1618095148
148,montecristo,8.2971,-74.4733,78.31,90,65,0.2,CO,1618095148
149,cabo san lucas,22.8909,-109.9124,78.8,69,20,13.04,MX,1618094964
150,sondershausen,51.3667,10.8667,46.0,99,100,5.88,DE,1618095148
151,coihaique,-45.5752,-72.0662,50.0,76,75,4.61,CL,1618094888
152,baryshivka,50.361,31.3217,45.0,64,0,4.47,UA,1618095149
153,dikson,73.5069,80.5464,18.84,90,92,22.48,RU,1618095056
154,bengkulu,-3.8004,102.2655,74.97,88,61,4.09,ID,1618095149
155,touros,-5.1989,-35.4608,77.0,88,40,4.61,BR,1618095149
156,fukue,32.6881,128.8419,60.6,61,100,10.4,JP,1618095149
157,pacific grove,36.6177,-121.9166,62.01,55,1,11.5,US,1618095150
158,hasaki,35.7333,140.8333,51.8,71,20,6.91,JP,1618095150
159,sobolevo,54.4299,31.8996,39.42,73,18,9.91,RU,1618095150
160,pathardi,19.1667,75.1833,84.38,35,97,4.12,IN,1618095150
161,doha,25.2867,51.5333,77.0,78,0,4.61,QA,1618095151
162,yaan,7.3833,8.5667,82.44,65,94,14.41,NG,1618095151
163,pitiquito,30.7,-112.0833,93.0,7,8,7.0,MX,1618095151
164,araouane,18.9048,-3.5265,89.01,9,0,8.12,ML,1618095151
165,nome,64.5011,-165.4064,12.0,48,90,18.41,US,1618095152
166,muli,2.9167,73.5667,82.54,74,22,10.36,MV,1618095152
167,hambantota,6.1241,81.1185,75.2,100,40,4.61,LK,1618094901
168,gornyy,55.1153,83.9059,30.99,70,12,3.74,RU,1618095152
169,myaundzha,63.0494,147.1858,-0.38,85,100,4.74,RU,1618095153
170,ponta do sol,32.6667,-17.1,61.0,73,93,2.26,PT,1618095153
171,marzuq,14.4,46.4667,66.87,21,0,6.17,YE,1618095153
172,solnechnyy,50.7214,136.6319,41.02,73,100,9.15,RU,1618095153
173,mwinilunga,-11.7358,24.4293,58.98,95,93,2.35,ZM,1618095154
174,esperance,-33.8667,121.9,57.2,88,98,12.66,AU,1618094878
175,torbay,47.6666,-52.7314,33.01,100,90,9.22,CA,1618095154
176,ilulissat,69.2167,-51.1,21.2,79,90,3.44,GL,1618095105
177,bosaso,11.2842,49.1816,79.63,55,0,11.34,SO,1618095155
178,angoche,-16.2325,39.9086,76.17,88,100,5.59,MZ,1618095155
179,konibodom,40.2843,70.4426,53.6,62,0,8.95,TJ,1618095156
180,mosquera,4.7059,-74.2302,64.4,52,40,10.36,CO,1618094980
181,makubetsu,45.3714,141.8211,43.21,75,7,20.78,JP,1618095156
182,burnie,-41.0667,145.9167,46.0,76,39,28.99,AU,1618095156
183,cristalina,-16.7686,-47.6136,60.13,79,0,3.71,BR,1618095071
184,sao joao da barra,-21.6403,-41.0511,74.61,66,1,8.75,BR,1618095157
185,beringovskiy,63.05,179.3167,7.93,92,100,22.44,RU,1618095157
186,ahipara,-35.1667,173.1667,71.83,69,5,2.93,NZ,1618095157
187,san juan,-31.5375,-68.5364,54.05,75,100,14.18,AR,1618095158
188,hammerfest,70.6634,23.6821,33.8,60,75,17.27,NO,1618095159
189,chihuahua,28.5,-106.0,87.8,8,1,3.44,MX,1618094868
190,bud,39.447,-86.1758,57.99,90,100,13.22,US,1618095159
191,konitsa,40.0486,20.7567,41.0,81,23,2.64,GR,1618095159
192,dagda,56.0951,27.5372,38.1,91,100,3.18,LV,1618095159
193,sasaram,24.951,84.0149,78.22,13,19,3.91,IN,1618095160
194,nanortalik,60.1432,-45.2371,34.84,86,87,11.43,GL,1618095160
195,bilibino,68.0546,166.4372,1.74,65,98,3.74,RU,1618095160
196,namibe,-15.1961,12.1522,78.75,71,27,4.23,AO,1618095160
197,saint anthony,45.0205,-93.218,48.2,66,90,13.8,US,1618095161
198,pemba,-12.974,40.5178,75.87,90,100,10.0,MZ,1618095161
199,clyde river,70.4692,-68.5914,30.2,55,90,10.36,CA,1618095161
200,necochea,-38.5473,-58.7368,57.99,92,100,4.0,AR,1618095161
201,beloha,-25.1667,45.05,69.73,97,5,5.66,MG,1618095162
202,aksha,50.2814,113.2867,29.86,44,100,10.45,RU,1618095162
203,ginir,7.1333,40.7,59.54,71,98,4.59,ET,1618095162
204,el paujil,1.5701,-75.3286,74.34,90,47,4.43,CO,1618095163
205,rancagua,-34.1708,-70.7444,64.4,48,0,8.05,CL,1618094902
206,tiksi,71.6872,128.8694,-8.66,93,41,5.59,RU,1618095163
207,arraial do cabo,-22.9661,-42.0278,76.39,64,0,13.02,BR,1618095163
208,say,13.1007,2.3689,91.4,6,0,5.75,NE,1618095166
209,mumford,5.2618,-0.759,80.8,87,61,8.72,GH,1618095167
210,sakakah,29.9697,40.2064,57.2,33,0,12.66,SA,1618095167
211,vuktyl,63.8567,57.3094,31.17,93,11,8.52,RU,1618095167
212,ende,-8.8432,121.6623,78.01,84,60,0.54,ID,1618095167
213,imbituba,-28.24,-48.6703,77.0,88,0,2.3,BR,1618095168
214,birjand,32.8663,59.2211,55.4,18,0,6.91,IR,1618095168
215,kirovskiy,45.0917,133.5136,44.55,48,41,9.73,RU,1618095168
216,labuhan,-6.8844,112.2051,77.79,88,83,6.46,ID,1618095168
217,tiznit,29.5833,-9.5,55.24,79,24,4.85,MA,1618095169
218,batagay-alyta,67.8006,130.4114,-5.66,76,4,4.68,RU,1618095169
219,carnduff,49.1667,-101.8009,66.99,19,20,10.0,CA,1618095169
220,dingle,10.9995,122.6711,78.1,81,59,6.78,PH,1618095169
221,vanavara,60.34,102.2797,7.54,95,20,3.49,RU,1618095170
222,iquique,-20.2208,-70.1431,68.0,60,20,12.66,CL,1618095170
223,tual,-5.6667,132.75,83.46,62,100,7.58,ID,1618095170
224,lebu,-37.6167,-73.65,53.19,85,0,9.46,CL,1618095170
225,mustasaari,63.1142,21.6822,32.0,100,0,5.75,FI,1618095055
226,zhezkazgan,47.8043,67.7144,38.8,68,8,24.65,KZ,1618095171
227,naliya,23.2667,68.8333,76.8,68,0,7.94,IN,1618095171
228,smolenka,52.1352,113.4974,23.0,46,100,8.95,RU,1618095171
229,los llanos de aridane,28.6585,-17.9182,66.2,72,0,5.75,ES,1618095171
230,iqaluit,63.7506,-68.5145,23.0,86,90,19.57,CA,1618095172
231,nago,26.5881,127.9761,69.8,73,1,19.57,JP,1618094891
232,norman wells,65.282,-126.8329,-5.8,71,90,8.05,CA,1618095172
233,bambous virieux,-20.3428,57.7575,80.01,83,75,12.66,MU,1618095172
234,puerto del rosario,28.5004,-13.8627,66.2,68,0,9.22,ES,1618095172
235,blairmore,49.6,-114.4353,35.01,69,88,9.22,CA,1618095173
236,mareeba,-17.0,145.4333,82.0,83,75,3.44,AU,1618095173
237,port-gentil,-0.7193,8.7815,82.24,77,89,0.49,GA,1618095173
238,ormara,25.2088,64.6357,78.8,64,0,12.57,PK,1618095173
239,vostok,46.4856,135.8833,41.45,46,73,5.37,RU,1618095174
240,evensk,61.95,159.2333,12.7,67,45,9.06,RU,1618095174
241,katsuura,35.1333,140.3,53.01,62,20,9.22,JP,1618095174
242,lagoa,39.05,-27.9833,59.59,94,100,20.49,PT,1618095174
243,kaohsiung,22.6163,120.3133,71.01,78,40,4.61,TW,1618095175
244,douentza,14.9951,-2.9517,86.88,8,0,5.59,ML,1618095175
245,naze,28.3667,129.4833,66.2,63,20,18.41,JP,1618095175
246,cayeli,41.0923,40.7292,45.0,87,100,2.86,TR,1618095175
247,lavrentiya,65.5833,-171.0,-1.59,78,100,17.85,RU,1618095176
248,luanda,-8.8368,13.2343,78.8,83,75,5.75,AO,1618094994
249,dunmore town,25.5,-76.65,76.01,68,78,14.47,BS,1618095176
250,talakan,50.3167,130.3667,39.13,72,98,9.08,RU,1618095176
251,cajamarca,-7.1638,-78.5003,54.45,92,100,1.66,PE,1618095157
252,praia da vitoria,38.7333,-27.0667,61.0,100,75,19.77,PT,1618095176
253,bilma,18.6853,12.9164,84.51,7,89,9.82,NE,1618095177
254,bathsheba,13.2167,-59.5167,78.8,65,20,6.91,BB,1618095177
255,mar del plata,-38.0023,-57.5575,66.2,82,90,16.11,AR,1618095177
256,kiunga,-6.1219,141.2906,76.78,92,89,2.77,PG,1618095177
257,visnes,59.3556,5.2242,30.2,93,20,6.91,NO,1618095178
258,coruripe,-10.1256,-36.1756,77.2,86,48,7.61,BR,1618095178
259,kenai,60.5544,-151.2583,23.0,35,1,9.22,US,1618095178
260,cabo rojo,18.0866,-67.1457,80.01,70,41,1.01,PR,1618095178
261,wuzhou,23.4833,111.3167,67.75,85,77,2.48,CN,1618095179
262,irece,-11.3042,-41.8558,71.04,75,58,12.68,BR,1618095179
263,ilam,26.9167,87.9167,63.28,21,0,6.93,NP,1618095179
264,luderitz,-26.6481,15.1594,72.45,53,0,7.63,NA,1618095179
265,manaure,11.7751,-72.4445,84.58,60,81,15.82,CO,1618095180
266,petropavlovsk-kamchatskiy,53.0452,158.6483,33.8,51,0,6.71,RU,1618095181
267,san cristobal,7.7669,-72.225,86.0,62,40,10.36,VE,1618095181
268,kupang,-10.1667,123.5833,78.1,87,58,2.82,ID,1618095181
269,longyearbyen,78.2186,15.6401,21.2,68,75,19.57,SJ,1618095182
270,marabba,12.35,32.1833,87.1,9,85,14.92,SD,1618095182
271,eyl,7.9803,49.8164,78.31,70,2,8.16,SO,1618095182
272,andenes,69.3143,16.1194,35.6,87,75,21.85,NO,1618095182
273,moissala,8.3404,17.7663,82.76,41,70,1.81,TD,1618095183
274,atasu,48.6814,71.6433,37.08,60,52,20.27,KZ,1618095183
275,guilin,25.2819,110.2864,57.2,100,75,1.28,CN,1618095183
276,codrington,-38.2667,141.9667,52.48,64,100,21.88,AU,1618095183
277,vardo,70.3705,31.1107,19.4,68,0,23.02,NO,1618095184
278,robertsganj,24.7,83.0667,76.87,13,4,2.64,IN,1618095184
